id	lexicalForm	sub-type	type	Alt tür	Grup	flags	rules	surfaces	emptySurface	Zemberek Karşılığı	Oflazer Karşılığı	Örnekler	İstisnalar	Açıklama
FIILIMSI_ZARF_(y)ArAk	yArAk	D	D	FZY			DUSME_UNSUZ, DONUSUM_A, 	arak, erek, yarak, yerek, 		FIIL_SUREKLILIK_EREK	VVI_XADV2	yürüyerek, giderek, bakarak, okuyarak	Adverbial aux	
FIILIMSI_ZARF_(y)AsIyA	yAsIyA	D	D	FZY			DUSME_UNSUZ, DONUSUM_A, DONUSUM_I, 	yasıya, yesiye, asıya, esiye, 		FIIL_DONUSUM_ESIYE		anlayasıya, bekleyesiye, bakasıya, ölesiye		
FIILIMSI_ZARF_(y)Up	yUp	D	D	FZY			DUSME_UNSUZ, DONUSUM_U, 	yıp, yip, yup, yüp, ıp, ip, up, üp, 		FIIL_IMSI_IP		yapıp, edip, sorup, gülüp, anlayıp, bekleyip, okuyup, büyüyüp		Fiilden az önce veya onunla aynı zamanda yapılan işleri gösteren zarf-fiiller türetir.
FIILIMSI_ZARF_(y)UncA	yUncA	D	D	FZY			DUSME_UNSUZ, DONUSUM_U, DONUSUM_A, 	yınca, yince, yünce, yunca, ınca, ince, ünce, unca, 		FIIL_ZAMAN_INCE		gelince, yapınca, korkunca, ölünce, başlayınca, bekleyince		
FIILIMSI_ZARF_CAsInA	CAsInA	D	D	FZY			DONUSUM_C, DONUSUM_A, DONUSUM_I, 	casına, cesine, çasına, çesine, 		FIIL_GIBI_CESINE		yürürcesine, yaparcasına, anlamışçasına, dinlemişçesine	Aslında bu ek isimlere de gelebiliyor. O yüzden ekin isimlere gelen versiyonu için ayrı bir ek tanımladık.	
FIILIMSI_ZARF_DUkçA	DUkçA	D	D	FZY			DONUSUM_D, DONUSUM_U, DONUSUM_A, 	dıkça, dikçe, dukça, dükçe, tıkça, tikçe, tukça, tükçe, 		FIIL_DEVAMLILIK_DIKCE	AVD_DIKÇA	oldukça, gittikçe, vardıkça, geldikçe, sordukça, güldükçe, baktıkça, seçtikçe, korktukça, öptükçe		Bir işin art arda veya belirli aralıklarla tekrarlandığını gösterir. Oldukça, gittikçe, vardıkça kalıplaşmış zarflardır.
FIILIMSI_ZARF_mAdAn	mAdAn	D	D	FZY			DONUSUM_A, 	madan, meden, 		FIIL_OLUMSUZLUK_DEN		yapmadan, yürümeden		
FIILIMSI_ZARF_sIzIn	sIzIn	D	D	FZY			DONUSUM_I, 	sızın, sizin, 		FIIL_OLUMSUZLUK_SIZIN		anlamaksızın, dinlemeksizin		
FY_OLUMSUZLUK_mA	mA	R	D	FFY			DONUSUM_A, 	ma, me, mı, mi, mu, mü, 		FIIL_OLUMSUZLUK_MA	VVI_NEG	gelme, kalma		Fiilin anlamını değiştirerek yeni bir fiil yapar. Mesela gelmek, gelmemek gibi. Bu yüzden fiilden fiil yapan yapım eki olarak kabul edilir.
FY_DONUSUM_mAcA	mAcA	D	D	FIY			DONUSUM_A, 	maca, mece, 				kesmece, bulmaca	Bu eki fiilden isim yapan olarak kabul ediyoruz. Kesmece gibi sıfatları doğrudan sözlükte bulabileceğimizi varsayıyoruz	
FY_TANIMLAMA_(y)UcU	yUcU	D	D	FIY			DONUSUM_U, DUSME_UNSUZ, 	yucu, yücü, yıcı, yici, ucu, ücü, ıcı, ici, 		FIIL_TANIMLAMA_ICI	NVD_ICI	okuyucu, yazıcı, verici, kurucu, yüzücü, ağlayıcı, patlayıcı, dinleyici		Daha çok meslek/uğraşı ve alet isimleri yapar.
FY_EDILGEN_(U)n	Un	D	D	FFY			DUSME_UNLU, DONUSUM_U, 	n, ın, in, un, ün, 		FIIL_EDILGENSESLI_N	VVI_REFX	boyan, sulan, arabalan, evlen, gözlen, kurun	Bu ek bazı fiilere gelebilirken bazılarına gelemiyor.	Örnekler düzeltildi.
FY_DONUSLU_n	n		D					n						
FY_EDILGEN_Ul_(U)n	Ul	D	D	FFY			OZEL_EDILGEN, DUSME_UNLU, DONUSUM_U, 	ıl, il, ul, ül, n, ın, in, un, ün, 		FIIL_EDILGEN_IL	VVI_PASSL	yapılmış, veril(iyor), bozul(du), küçüldü	Genelde ünlü ile biten fiillere gelmez. Ama ettirgen eklerinden sonra geliyor her zaman	Geçişsiz fiillere geldiğinde edilgen (öznesi belli olmayan) fiiller yapar. Geçişli fiillere geldiğinde de edilgen yapar.
FY_ETTIRGEN_DUr_(U)t	DUr		D				OZEL_ETTIRGEN,  DONUSUM_D, DONUSUM_U	dır, dir, dur, dür, tır, tir, tur, tür, t, ıt, it, ut, üt						Ünlü ile biten tek heceli fiillerle ünsüzle biten bütün fiillere gelir.
FY_ETTIRTGEN_t_DUr	t		D				OZEL_ETTIRTGEN, DONUSUM_U, DONUSUM_D,	dır, dir, dur, dür, tır, tir, tur, tür, t						
IY_FIIL_lA	lA	D	D	IFY			DONUSUM_A, 	la, le, lı, li, lu, lü		ISIM_DONUSUM_LE	VJD_LA	sollamak, genişlemek, serinlemek, ucuzlamak, ucuzluyor (daralma), serinliyor, kolaylıyor, düzlüyor, sepetlemek, çuvallamak, kalaylamak, kazıklamak, başlıyor (daralma), izliyor, özlüyor, buzluyor 	Bence bu ek olmamalı ya da bu eki alan fiiller yine de sözlükte bulunmalı	
IY_FIIL_lAş	lAş	D	D	IFY			DONUSUM_A, 	laş, leş, 		ISIM_DONUSUM_LES	VJD_LAS	güzelleşmek, yoksullaşmak, başkalaşmak		
IY_ISIM_cAğIz	cAğIz	D	D	IIY			DONUSUM_A, DONUSUM_I, 	cağız, ceğiz, ncağız		ISIM_KUCULTME_CEGIZ	NND_CAGZ	adamcağız, köyceğiz, kuşcağız		
