root	surfaces	lex	Anlam	active	Id	flags	rules	Ekler	AltTür	Dil	BüyükHarf	FY_EDILGEN_(U)n	FY_EDILGEN_Ul	Geçişlilik	E-hali
bâtıni					SIFAT	sıfat, şapkalı			felsefe	Arapça	Hayır				
Batıniye		Bâtıniye			OZEL	özel, şapkasız	SAPKA_DUSUR_A		din bilgisi/tarikat	Arapça	Evet				
Bâtıniye					OZEL	özel, şapkalı			din bilgisi/tarikat	Arapça	Evet				
batır					FIIL	fiil, ettirtgen_t				Türkçe	Hayır		E	Evet	
bati					SIFAT	sıfat				Arapça	Hayır				
batik	batiğ				ISIM	isim	YUMUSAMA_kğ	ği		Fransızca	Hayır				
batimetre					ISIM	isim			denizcilik	Fransızca	Hayır				
batimetri					ISIM	isim			denizcilik	Fransızca	Hayır				
batisfer					ISIM	isim				Fransızca	Hayır				
batiskaf					ISIM	isim				Fransızca	Hayır				
batkı					ISIM	isim				Türkçe	Hayır				
batkın					SIFAT	sıfat			ekonomi	Türkçe	Hayır				
batman					ISIM	isim				Farsça	Hayır				
Batman					OZEL	özel			il	Farsça	Evet				
batonsale					ISIM	isim				Fransızca	Hayır				
batöz					ISIM	isim				Fransızca	Hayır				
batsat					ZARF	zarf				Türkçe	Hayır				
battal					SIFAT	sıfat				Arapça	Hayır				
Battalgazi					OZEL	özel			ilçe	Arapça	Evet				
battaniye					ISIM	isim				Arapça	Hayır				
battıçıktı					ISIM	isim				Türkçe	Hayır				
batur					ISIM	isim				Türkçe	Hayır				
batyal		batyál			ISIM	isim	OZEL_INCELME_A	li	coğrafya	Fransızca	Hayır				
bav					ISIM	isim				Türkçe	Hayır				
bavlı					FIIL	fiil				Türkçe					
bavul					ISIM	isim				İtalyanca	Hayır				
bay					ISIM	isim				Türkçe	Hayır				
bay					SIFAT	sıfat				Türkçe	Hayır				
bay					FIIL	fiil, genis_Ar		ar		Türkçe					
bayağı					SIFAT	sıfat				Türkçe	Hayır				
bayan					ISIM	isim				Türkçe	Hayır				
Bayat					OZEL	özel			tarih/Türk boyu	Türkçe	Evet				
Bayat					OZEL	özel			ilçe	Türkçe	Evet				
bayat					SIFAT	sıfat				Türkçe	Hayır				
bayatı					ISIM	isim			edebiyat	Farsça	Hayır				
bayati					ISIM	isim			müzik	Farsça	Hayır				
bayatiaraban					ISIM	isim			müzik	Fa-Ar	Hayır				
bayatibuselik	bayatibuseliğ				ISIM	isim	YUMUSAMA_kğ	ği	müzik		Hayır				
bayatla	bayatlı				FIIL	fiil				Türkçe					
Bayburt					OZEL	özel			il	Rumca	Evet				
baygın					SIFAT	sıfat				Türkçe	Hayır				
baygıntı					ISIM	isim				Türkçe	Hayır				
bayıl					FIIL	fiil, ettirgen_t				Türkçe					
Bayındır					OZEL	özel			tarih/Türk boyu	Türkçe	Evet				
Bayındır					OZEL	özel			ilçe	Türkçe	Evet				
bayındır					SIFAT	sıfat				Türkçe	Hayır				
bayındırlaş					FIIL	fiil				Türkçe					
bayır					ISIM	isim				Türkçe	Hayır				
bayi					ISIM	isim				Arapça	Hayır				
Baykan					OZEL	özel			ilçe	Türkçe	Evet				
baykuş					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
baykuşgiller					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
baylan					SIFAT	sıfat				Türkçe	Hayır				
baylan					FIIL	fiil				Türkçe					
baypas					ISIM	isim			tıp	İngilizce	Hayır				
bayrak	bayrağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bayrakalt					TAMLAMA	isim			askerlik	Türkçe	Hayır				
bayraktar					ISIM	isim				Tr-Fa	Hayır				
bayram					ISIM	isim				Türkçe	Hayır				
Bayrami					OZEL	özel			din bilgisi	Türkçe	Evet				
Bayramiç					OZEL	özel			ilçe	Türkçe	Evet				
Bayramören					OZEL	özel			ilçe	Türkçe	Evet				
Bayrampaşa					OZEL	özel			ilçe	Türkçe	Evet				
bayramüzeri					ZARF	zarf				Türkçe	Hayır				
bayrı					SIFAT	sıfat				Türkçe	Hayır				
baysungur					ISIM	isim				Türkçe	Hayır				
bayt					ISIM	isim			bilgisayar						
baytar					ISIM	isim				Arapça	Hayır				
baz					SIFAT	sıfat				Fransızca	Hayır				
baza					ISIM	isim				İtalyanca	Hayır				
bazal		bazál			SIFAT	sıfat	OZEL_INCELME_A	li	kimya	Fransızca	Hayır				
bazalt					ISIM	isim			jeoloji	Fransızca	Hayır				
bazen					ZARF	zarf				Arapça	Hayır				
bazı					SIFAT	sıfat				Arapça	Hayır				
bazı					ZAMIR_BELIRSIZLIK	zamir									
baziçe					ISIM	isim				Farsça	Hayır				
bazidiyospor					ISIM	isim			bitki bilimi	Fransızca	Hayır				
bazik	baziğ				SIFAT	sıfat	YUMUSAMA_kğ		kimya	Fransızca	Hayır				
bazilika					ISIM	isim			mimarlık	Fransızca	Hayır				
bazit					ISIM	isim			bitki bilimi	Fransızca	Hayır				
bazlamaç	bazlamac				ISIM	isim	YUMUSAMA_çc	cı		Türkçe	Hayır				
bazofil					ISIM	isim			bitki bilimi	Fransızca	Hayır				
bazofobi					ISIM	isim			tıp	Fransızca	Hayır				
bazuka					ISIM	isim			askerlik	Fransızca	Hayır				
be					UNLEM	ünlem				Türkçe	Hayır				
bebe					ISIM	isim				Türkçe	Hayır				
bebek	bebeğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
beberuhi					ISIM	isim				Tr-Ar	Hayır				
Beberuhi					OZEL	özel			geleneksel tiyatro	Tr-Ar	Evet				
becayiş					ISIM	isim				Farsça	Hayır				
becer					FIIL	fiil				Türkçe					
beceri					ISIM	isim				Türkçe	Hayır				
becerikli					SIFAT	sıfat									
beceriksiz					SIFAT	sıfat									
becet					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
Beçene					OZEL	özel			tarih/Türk boyu		Evet				
bed					SIFAT	sıfat				Farsça	Hayır				
bedahet					ISIM	isim				Arapça	Hayır				
bedaheten					ZARF	zarf				Arapça	Hayır				
bedava					SIFAT	sıfat				Farsça	Hayır				
bedayi					ISIM	isim				Arapça	Hayır				
bedbaht					SIFAT	sıfat				Farsça	Hayır				
bedbin					SIFAT	sıfat				Farsça	Hayır				
beddua					ISIM	isim				Fa-Ar	Hayır				
bedel					ISIM	isim				Arapça	Hayır				
beden					ISIM	isim				Arapça	Hayır				
bedenen					ZARF	zarf				Arapça	Hayır				
bedeni		bedenî			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_I			Arapça	Hayır				
bedenî					SIFAT	sıfat, şapkalı				Arapça	Hayır				
bedesten					ISIM	isim				Farsça	Hayır				
bedevi					ISIM	isim				Arapça	Hayır				
Bedevi					OZEL	özel			din bilgisi	Arapça	Evet				
bedhah					SIFAT	sıfat				Farsça	Hayır				
bedihi					SIFAT	sıfat				Arapça	Hayır				
bedii					SIFAT	sıfat				Arapça	Hayır				
bediiyat					ISIM	isim				Arapça	Hayır				
bedik	bediğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
bedir	bedr				ISIM	isim	DUSME_SON_UNLU	dri	gök bilimi	Arapça	Hayır				
bedirik	bediriğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
bednam					SIFAT	sıfat				Farsça	Hayır				
bedük	bedüğ				ISIM	isim	YUMUSAMA_kğ	ğü		Türkçe	Hayır				
begayet					ZARF	zarf				Farsça	Hayır				
Begdili					OZEL	özel			tarih/Türk boyu	Türkçe	Evet				
begonvil					ISIM	isim			bitki bilimi	Fransızca	Hayır				
begonya					ISIM	isim			bitki bilimi	Latince	Hayır				
begonyagiller					ISIM	isim			bitki bilimi		Hayır				
begüm					ISIM	isim				Hintçe	Hayır				
beğen					FIIL	fiil				Türkçe	Hayır		E	Evet	
beğen				F	FIIL	fiil				Türkçe					
beğence					ISIM	isim			edebiyat	Türkçe	Hayır				
beğeni					ISIM	isim				Türkçe	Hayır				
behemehal		behemehâl			ZARF	zarf, şapkasız	SAPKA_DUSUR_A			Farsça	Hayır				
behemehâl					ZARF	zarf, şapkalı				Farsça	Hayır				
beher					ISIM	isim			kimya	Almanca	Hayır				
beher					SIFAT	sıfat				Farsça	Hayır				
behey					UNLEM	ünlem				Türkçe	Hayır				
behime					ISIM	isim				Arapça	Hayır				
behimi					SIFAT	sıfat				Arapça	Hayır				
behişt					ISIM	isim			din bilgisi	Farsça	Hayır				
behre					ISIM	isim				Farsça	Hayır				
beis					ISIM	isim				Arapça	Hayır				
bej					ISIM	isim				Fransızca	Hayır				
bek					ISIM	isim			spor	İngilizce	Hayır				
bek				F	ISIM	isim				Fransızca	Hayır				
bek	beğ				SIFAT	sıfat	YUMUSAMA_kğ			Türkçe	Hayır				
beka					ISIM	isim				Arapça	Hayır				
bekar		bekâr			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
bekâr					ISIM	isim, şapkalı				Arapça	Hayır				
bekaret		bekâret			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
bekâret					ISIM	isim, şapkalı				Arapça	Hayır				
bekarhane		bekârhane			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Ar-Fa	Hayır				
bekârhane					ISIM	isim, şapkalı				Ar-Fa	Hayır				
bekas					ISIM	isim			hayvan bilimi	Fransızca	Hayır				
Bekilli					OZEL	özel			ilçe	Türkçe	Evet				
bekin					FIIL	fiil				Türkçe					
bekit					FIIL	fiil				Türkçe					
bekle	bekli				FIIL	fiil				Türkçe					
beklenmedik	beklenmediğ				SIFAT	sıfat	YUMUSAMA_kğ								
beklenmez					SIFAT	sıfat, kök_değil									
beklenti					ISIM	isim				Türkçe	Hayır				
bekleyekoyma					ISIM	isim				Türkçe	Hayır				
bekri					SIFAT	sıfat				Arapça	Hayır				
Bektaşi					OZEL	özel			din bilgisi	Tr-Ar	Evet				
bektaşikavuk	bektaşikavuğ				TAMLAMA	isim	YUMUSAMA_kğ		bitki bilimi	Türkçe	Hayır				
bel					ISIM	isim				Türkçe	Hayır				
bel				F	ISIM	isim			anatomi	Türkçe	Hayır				
bel				F	ISIM	isim			fizyoloji	Türkçe	Hayır				
bel				F	ISIM	isim				Farsça	Hayır				
bel				F	ISIM	isim			fizik		Hayır				
bela					ISIM	isim				Arapça	Hayır				
belagat		belagát			ISIM	isim	OZEL_INCELME_A	ti		Arapça	Hayır				
belahet					ISIM	isim		ti		Arapça	Hayır				
Belçika					OZEL	özel			ülke		Evet				
belde					ISIM	isim				Arapça	Hayır				
bele	beli				FIIL	fiil				Türkçe					
beledi					SIFAT	sıfat				Arapça	Hayır				
belediye					ISIM	isim				Arapça	Hayır				
belemir					ISIM	isim			bitki bilimi	Türkçe	Hayır				
belen					ISIM	isim				Türkçe	Hayır				
Belen					OZEL	özel			ilçe	Türkçe	Evet				
beler					FIIL	fiil, ettirgen_t				Türkçe					
beleş					SIFAT	sıfat				Arapça	Hayır				
belge					ISIM	isim				Türkçe	Hayır				
belgeç	belgec				ISIM	isim	YUMUSAMA_çc	ci		Türkçe	Hayır				
belgegeçer					ISIM	isim				Türkçe	Hayır				
belgele	belgeli				FIIL	fiil				Türkçe					
belgevşeklik	belgevşekliğ				TAMLAMA	isim	YUMUSAMA_kğ			Türkçe	Hayır				
belgi					ISIM	isim				Türkçe	Hayır				
belgile	belgili				FIIL	fiil				Türkçe					
belgin					SIFAT	sıfat				Türkçe	Hayır				
belgit					ISIM	isim			ticaret	Türkçe	Hayır				
beli					EDAT	edat				Farsça	Hayır				
beliğ					SIFAT	sıfat				Arapça	Hayır				
belik	beliğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
belikle	belikli				FIIL	fiil				Türkçe					
belinle	belinli				FIIL	fiil				Türkçe					
belir					FIIL	fiil, ettirtgen_t				Türkçe	Hayır		E	Hayır	
belirgi					ISIM	isim			tıp	Türkçe	Hayır				
belirgin					SIFAT	sıfat				Türkçe	Hayır				
belirim					ISIM	isim									
belirle	belirli				FIIL	fiil				Türkçe					
belirlenim					ISIM	isim									
belirli					SIFAT	sıfat				Türkçe	Hayır				
belirsiz					SIFAT	sıfat				Türkçe	Hayır				
belirt					FIIL	fiil				Türkçe					
belirteç	belirtec				ISIM	isim	YUMUSAMA_çc	ci	dil bilgisi	Türkçe	Hayır				
belirti					ISIM	isim				Türkçe	Hayır				
belirtik	belirtiğ				ISIM	isim	YUMUSAMA_kğ								
belirtim					ISIM	isim									
belirtke					ISIM	isim				Türkçe	Hayır				
belirtken					ISIM	isim				Türkçe	Hayır				
belit					ISIM	isim			mantık	Türkçe	Hayır				
belitken					ISIM	isim			mantık	Türkçe	Hayır				
belitle	belitli				FIIL	fiil				Türkçe					
beliye					ISIM	isim				Arapça	Hayır				
belki					ZARF	zarf				Arapça	Hayır				
belladonna					ISIM	isim			bitki bilimi	İtalyanca	Hayır				
belle	belli				FIIL	fiil				Türkçe					
belle	belli				FIIL	fiil									
bellek	belleğ				ISIM	isim	YUMUSAMA_kğ								
belletmen					ISIM	isim				Türkçe	Hayır				
belli					SIFAT	sıfat				Türkçe	Hayır				
belsoğukluk	belsoğukluğ				TAMLAMA	isim	YUMUSAMA_kğ		tıp	Türkçe	Hayır				
bembeyaz					SIFAT	sıfat				Tr-Ar	Hayır				
bemol		bemól			ISIM	isim	OZEL_INCELME_O	lü	müzik	Fransızca	Hayır				
ben	ban				ZAMIR_SAHIS_BEN	zamir	OZEL_bana, OZEL_benim			Türkçe	Hayır				
ben					ISIM	isim				Türkçe	Hayır				
benbenci					SIFAT	sıfat				Türkçe	Hayır				
bencil					SIFAT	sıfat				Türkçe	Hayır				
bencileyin					ZARF	zarf				Türkçe	Hayır				
bende					ISIM	isim				Farsça	Hayır				
bendegan		bendegân			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Farsça	Hayır				
bendegân					ISIM	isim, şapkalı				Farsça	Hayır				
bendehane					ISIM	isim				Farsça	Hayır				
bendezade					ISIM	isim				Farsça	Hayır				
bendir					ISIM	isim				Arapça	Hayır				
benek	beneğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
beneklen					FIIL	fiil				Türkçe					
bengi					ISIM	isim				Türkçe	Hayır				
bengi					SIFAT	sıfat				Türkçe	Hayır				
beniadem		beniâdem			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Arapça	Hayır				
beniâdem					ISIM	isim, şapkalı				Arapça	Hayır				
benibeşer					ISIM	isim				Arapça	Hayır				
beniçinci					SIFAT	sıfat			felsefe	Türkçe	Hayır				
benilde	benildi				FIIL	fiil				Türkçe					
benimse	benimsi				FIIL	fiil				Türkçe	Hayır	E		Evet	
Benin					OZEL	özel			ülke						
beniz	benz				ISIM	isim	DUSME_SON_UNLU	nzi		Türkçe	Hayır				
benlen					FIIL	fiil				Türkçe					
benmari					ISIM	isim				Fransızca	Hayır				
benmerkezci					SIFAT	sıfat			felsefe		Hayır				
bent	bend				ISIM	isim	YUMUSAMA_td	di		Farsça	Hayır				
benze	benzi				FIIL	fiil				Türkçe	Hayır	E		Hayır	
benze	benzi			F	FIIL	fiil				Türkçe					
benzen					ISIM	isim			kimya	Fransızca	Hayır				
benzer					SIFAT	sıfat				Türkçe	Hayır				
benzeş					FIIL	fiil				Türkçe					
benzeşik	benzeşiğ				SIFAT	sıfat	YUMUSAMA_kğ	ği		Türkçe	Hayır				
benzeşim					ISIM	isim									
benzet					FIIL	fiil				Türkçe					
benzeti					ISIM	isim			edebiyat	Türkçe	Hayır				
benzetim					ISIM	isim									
benzin					ISIM	isim			kimya	Fransızca	Hayır				
benzol		benzól			ISIM	isim	OZEL_INCELME_O	lü	kimya	Fransızca	Hayır				
beraat		beraát			ISIM	isim	OZEL_INCELME_A	ti	hukuk	Arapça	Hayır				
beraatizimmet					ISIM	isim			hukuk	Arapça	Hayır				
beraber					SIFAT	zarf, sıfat				Farsça	Hayır				
beraberlik	beraberliğ				ISIM	isim	YUMUSAMA_kğ								
berat					ISIM	isim				Arapça	Hayır				
berbat					SIFAT	sıfat				Farsça	Hayır				
berber					ISIM	isim				Farsça	Hayır				
Berberi					OZEL	özel			halk	Arapça	Evet				
berceste					SIFAT	sıfat				Farsça	Hayır				
berdel					ISIM	isim				Kürtçe	Hayır				
berdelacuz					ISIM	isim				Arapça	Hayır				
berdevam					SIFAT	sıfat				Fa-Ar	Hayır				
berduş					ISIM	isim				Farsça	Hayır				
bere					ISIM	isim				Fransızca	Hayır				
bere					ISIM	isim				Türkçe	Hayır				
bereket					ISIM	isim				Arapça	Hayır				
bereketlen					FIIL	fiil									
berele	bereli				FIIL	fiil				Türkçe					
berelen					FIIL	fiil				Türkçe					
berenarı					ZARF	zarf				Türkçe	Hayır				
Bergama					OZEL	özel			ilçe	Rumca	Evet				
bergamodi					ISIM	isim					Hayır				
bergamot					ISIM	isim			bitki bilimi	Fransızca	Hayır				
bergüzar					ISIM	isim				Farsça	Hayır				
berhane					ISIM	isim				Farsça	Hayır				
berhava					SIFAT	sıfat				Farsça	Hayır				
berhayat					SIFAT	sıfat				Fa-Ar	Hayır				
berhudar					SIFAT	sıfat				Farsça	Hayır				
beri					ISIM	isim				Türkçe	Hayır				
beribenzer					SIFAT	sıfat				Türkçe	Hayır				
beriberi					ISIM	isim			tıp	Fransızca	Hayır				
beriki					SIFAT	sıfat									
beril					ISIM	isim			mineraloji	Fransızca	Hayır				
berilyum					ISIM	isim			kimya	Fransızca	Hayır				
berjer					ISIM	isim				Fransızca	Hayır				
berk	berğ				SIFAT	sıfat	YUMUSAMA_kğ			Türkçe	Hayır				
berkelyum					ISIM	isim			kimya	Fransızca	Hayır				
berkemal		berkemál			SIFAT	sıfat	OZEL_INCELME_A	li		Fa-Ar	Hayır				
berki					FIIL	fiil				Türkçe					
bermuda					ISIM	isim				Fransızca	Hayır				
Bermuda					OZEL	özel			ülke						
bermutat					ZARF	zarf				Fa-Ar	Hayır				
berrak	berrağ				SIFAT	sıfat	YUMUSAMA_kğ			Arapça	Hayır				
berri					SIFAT	sıfat				Arapça	Hayır				
bert					FIIL	fiil, genis_Ar		er		Türkçe					
bertafsil					ZARF	zarf				Fa-Ar	Hayır				
bertaraf					ISIM	isim				Fa-Ar	Hayır				
bertik	bertiğ				ISIM	isim	YUMUSAMA_kğ								
berzah					ISIM	isim			coğrafya	Arapça	Hayır				
besalet					ISIM	isim				Arapça	Hayır				
besbedava					SIFAT	sıfat					Hayır				
besbelli					SIFAT	sıfat				Türkçe	Hayır				
besbeter					SIFAT	sıfat					Hayır				
beserek	besereğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
besi					ISIM	isim				Türkçe	Hayır				
besihane					ISIM	isim				Tr-Fa	Hayır				
besin					ISIM	isim				Türkçe	Hayır				
besle	besli				FIIL	fiil				Türkçe					
beslengi					ISIM	isim				Türkçe	Hayır				
besmele					ISIM	isim				Arapça	Hayır				
besmelesiz					ZARF	zarf					Hayır				
besni					ISIM	isim			bitki bilimi	Türkçe	Hayır				
Besni					OZEL	özel			ilçe	Türkçe	Evet				
beste					ISIM	isim				Farsça	Hayır				
bestekar		bestekâr			ISIM	isim, şapkasız	SAPKA_DUSUR_A		müzik	Farsça	Hayır				
bestekâr					ISIM	isim, şapkalı			müzik	Farsça	Hayır				
bestele	besteli				FIIL	fiil									
bestenigar		bestenigâr			ISIM	isim, şapkasız	SAPKA_DUSUR_A		müzik	Farsça	Hayır				
bestenigâr					ISIM	isim, şapkalı			müzik	Farsça	Hayır				
beş					SAYI	sayı, isim, sıfat									
beşamel					ISIM	isim				Fransızca	Hayır				
beşaret					ISIM	isim				Arapça	Hayır				
beşbıyık	beşbıyığ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
beşer					ISIM	isim				Arapça	Hayır				
beşer					SIFAT	sıfat				Türkçe	Hayır				
beşeri		beşerî			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_I			Arapça	Hayır				
beşerî					SIFAT	sıfat, şapkalı				Arapça	Hayır				
beşeriyet					ISIM	isim				Arapça	Hayır				
beşgen					ISIM	isim			matematik		Hayır				
beşibirarada					ISIM	isim				Türkçe	Hayır				
beşibirlik	beşibirliğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
beşibiryerde					ISIM	isim				Türkçe	Hayır				
beşik	beşiğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
Beşikdüzü					OZEL	özel			ilçe	Türkçe	Evet				
beşikörtü					TAMLAMA	isim				Türkçe	Hayır				
Beşiktaş					OZEL	özel			ilçe	Türkçe	Evet				
Beşiri					OZEL	özel			ilçe		Evet				
beşiz					SIFAT	sıfat				Türkçe	Hayır				
beşkardeş					ISIM	isim				Türkçe	Hayır				
beşle	beşli				FIIL	fiil				Türkçe					
beşme					ISIM	isim				Türkçe	Hayır				
beşme					ISIM	isim				Türkçe	Hayır				
beşme					ISIM	isim				Türkçe	Hayır				
beşon					ISIM	isim				Türkçe	Hayır				
beşparmak	beşparmağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
beşpençe					ISIM	isim				Tr-Fa	Hayır				
beştaş					ISIM	isim				Türkçe	Hayır				
bet					ISIM	isim				Türkçe	Hayır				
beta					ISIM	isim				Yunanca	Hayır				
betatron					ISIM	isim			fizik	Fransızca	Hayır				
beter					SIFAT	sıfat				Farsça	Hayır				
beti					ISIM	isim				Türkçe	Hayır				
betik	betiğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
betim					ISIM	isim				Türkçe	Hayır				
betimle	betimli				FIIL	fiil				Türkçe					
beton					ISIM	isim				Fransızca	Hayır				
betonarme					ISIM	isim			mimarlık	Fransızca	Hayır				
betoniyer					ISIM	isim				Fransızca	Hayır				
betonkarar					ISIM	isim				Fr-Tr	Hayır				
bevliye					ISIM	isim			tıp	Arapça	Hayır				
bevvap	bevvab				ISIM	isim	YUMUSAMA_pb	bı		Arapça	Hayır				
bey					ISIM	isim				Türkçe	Hayır				
bey					ISIM	isim				Arapça	Hayır				
beyaban					ISIM	isim				Farsça	Hayır				
Beyağaç					OZEL	özel		ç'ı	ilçe	Türkçe	Evet				
beyan					ISIM	isim				Arapça	Hayır				
beyanat					ISIM	isim				Arapça	Hayır				
beyanname					ISIM	isim				Ar-Fa	Hayır				
beyaz					ISIM	isim				Arapça	Hayır				
Beyaz Rusya					OZEL	özel			ülke						
beyazımtırak	beyazımtırağ				SIFAT	sıfat	YUMUSAMA_kğ				Hayır				
beyazlan					FIIL	fiil									
beyazsinek	beyazsineğ				ISIM	isim	YUMUSAMA_kğ	ği	hayvan bilimi	Ar-Tr	Hayır				
beyaztilki					ISIM	isim			hayvan bilimi	Ar-Tr	Hayır				
beybaba					ISIM	isim				Türkçe	Hayır				
Beydağ					OZEL	özel			ilçe	Türkçe	Evet				
beyefendi					ISIM	isim				Tr-Rum	Hayır				
beygir					ISIM	isim				Farsça	Hayır				
beyhude					SIFAT	sıfat				Farsça	Hayır				
beyin	beyn				ISIM	isim	DUSME_SON_UNLU	yni	anatomi	Türkçe	Hayır				
beyinorak	beyinorağ				TAMLAMA	isim	YUMUSAMA_kğ		anatomi	Türkçe	Hayır				
beyit	beyt				ISIM	isim	DUSME_SON_UNLU	yti	edebiyat	Arapça	Hayır				
Beykoz					OZEL	özel			ilçe	Tr-Fa	Evet				
beylerbey					TAMLAMA	isim			tarih	Türkçe	Hayır				
Beylikova					OZEL	özel			ilçe	Türkçe	Evet				
beynamaz					SIFAT	sıfat			din bilgisi	Farsça	Hayır				
beynelmilel					SIFAT	sıfat				Arapça	Hayır				
Beyoğlu					OZEL	özel			ilçe	Türkçe	Evet				
Beypazarı					OZEL	özel			ilçe		Evet				
Beyşehir					OZEL	özel			ilçe	Tr-Fa	Evet				
beytülmal		beytülmál			ISIM	isim	OZEL_INCELME_A		tarih	Arapça	Hayır				
Beytüşşebap					OZEL	özel		p'ı	ilçe	Arapça	Evet				
beyyine					ISIM	isim				Arapça	Hayır				
beyzade					ISIM	isim				Tr-Fa	Hayır				
beyzbol					ISIM	isim			spor	İngilizce	Hayır				
beyzi					SIFAT	sıfat				Arapça	Hayır				
bez					ISIM	isim				Türkçe	Hayır				
bez					ISIM	isim			biyoloji	Türkçe	Hayır				
bez					FIIL	fiil, genis_Ar		er		Türkçe					
beze					ISIM	isim			anatomi	Türkçe	Hayır				
beze					ISIM	isim				Türkçe	Hayır				
beze					ISIM	isim				Türkçe	Hayır				
beze	bezi				FIIL	fiil				Türkçe					
bezekle	bezekli				FIIL	fiil				Türkçe					
bezelye					ISIM	isim			bitki bilimi	Rumca	Hayır				
bezen					ISIM	isim				Türkçe	Hayır				
bezgi					ISIM	isim				Türkçe	Hayır				
bezgin					SIFAT	sıfat				Türkçe	Hayır				
bezik	beziğ				ISIM	isim	YUMUSAMA_kğ	ği		Fransızca	Hayır				
bezil					FIIL	fiil				Türkçe					
bezir					ISIM	isim				Arapça	Hayır				
bezirgan		bezirgân			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Farsça	Hayır				
bezirgân					ISIM	isim, şapkalı				Farsça	Hayır				
bezirganbaşı		bezirgânbaşı			ISIM	isim, şapkasız	SAPKA_DUSUR_A			Fa-Tr	Hayır				
bezirgânbaşı					ISIM	isim, şapkalı				Fa-Tr	Hayır				
bezirle	bezirli				FIIL	fiil									
bezm					ISIM	isim				Farsça	Hayır				
bezzaz					ISIM	isim				Arapça	Hayır				
bıcıl					ISIM	isim				Farsça	Hayır				
bıcırgan					ISIM	isim				Türkçe	Hayır				
bıçak	bıçağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bıçakla	bıçaklı				FIIL	fiil				Türkçe					
bıçaksırt					TAMLAMA	isim				Türkçe	Hayır				
bıçık	bıçığ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bıçılgan					ISIM	isim				Türkçe	Hayır				
bıçkı					ISIM	isim				Türkçe	Hayır				
bıçkıev					TAMLAMA	isim				Türkçe	Hayır				
bıçkıhane					ISIM	isim				Tr-Fa	Hayır				
bıçkın					ISIM	isim				Türkçe	Hayır				
bıdık	bıdığ				SIFAT	sıfat	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bık					FIIL	fiil, genis_Ar		ar		Türkçe					
bıkkın					SIFAT	sıfat				Türkçe	Hayır				
bıkkıntı					ISIM	isim				Türkçe	Hayır				
bıktır					FIIL	fiil				Türkçe					
bıldır					ZARF	zarf				Türkçe	Hayır				
bıldırcın					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
bıngıl					YANSIMA	yansıma				Türkçe	Hayır				
bıngılda	bıngıldı				FIIL	fiil				Türkçe					
bıngıldak	bıngıldağ				ISIM	isim	YUMUSAMA_kğ								
bırak					FIIL	fiil				Türkçe					
bırakım					ISIM	isim									
bırakıt					ISIM	isim			hukuk	Türkçe	Hayır				
bıtırak	bıtırağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bıyık	bıyığ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bıyıklan					FIIL	fiil				Türkçe					
bızbız					ISIM	isim				Türkçe	Hayır				
bızdık	bızdığ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
bızır					ISIM	isim			anatomi	Arapça	Hayır				
biaman					SIFAT	sıfat				Fa-Ar	Hayır				
biat		biát			ISIM	isim	OZEL_INCELME_A	ti		Arapça	Hayır				
bibaht					SIFAT	sıfat				Farsça	Hayır				
bibehre					SIFAT	sıfat				Farsça	Hayır				
biber					ISIM	isim			bitki bilimi	Latince	Hayır				
biberiye					ISIM	isim			bitki bilimi		Hayır				
biberle	biberli				FIIL	fiil									
